,model,train_loss,train_acc,val_loss,val_acc
0,resnet18,0.9065,0.7484,0.718,0.8125
1,resner34,0.7605,0.7917,0.5601,0.8208
2,resnet50,0.7193,0.8097,0.6006,0.8458
3,resnet101,0.7177,0.8173,0.5135,0.8653
4,resnet152,0.6577,0.8268,0.4687,0.8792
5,vgg11,1.5137,0.7088,1.088,0.7903
6,vgg13,1.5008,0.7101,1.0117,0.8042
7,vgg16,1.4225,0.7371,0.8813,0.8389
8,vgg19,1.3483,0.7448,0.8202,0.8472
9,squeezenet1_0,1.2783,0.6559,1.5952,0.6208
10,squeezenet1_1,1.3094,0.6517,1.6685,0.5986
11,densenet121,0.7004,0.8089,0.6335,0.8
12,densenet161,0.4749,0.8741,0.4627,0.8708
13,densenet169,0.5746,0.8445,0.5377,0.8319
14,densenet201,0.5356,0.8565,0.4406,0.8611
15,inception_v3,1.0369,0.7436,0.5307,0.8625
16,xception,0.6263,0.8366,0.6012,0.8514
17,inception_resnet_v2,0.8352,0.774,0.7046,0.8292
18,nasnetlarge,0.5425,0.8594,0.7184,0.8542
